Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,Town/City,Postcode,Country,Reference,Category
25/12/2025,X CORP. PAID FEATURES   BASTROP,2.35,,X CORP. PAID FEATURES   BASTROP,"865 FM1209
BUILDING 2",BASTROP,78602,UNITED STATES,'AT253600037000010359272',General Purchases-Online Purchases
22/12/2025,3CPAYMENT*BRISTOL AIRPO BRISTOL,3.19,,3CPAYMENT*BRISTOL AIRPO BRISTOL,SSP UK BRISTOL AIRPORT,BRISTOL,BS48 3DY,UNITED KINGDOM OF GB AND NI,'AT253570054000011439793',Entertainment-Restaurants
22/12/2025,3CPAYMENT*BRISTOL AIRPO BRISTOL,8.78,,3CPAYMENT*BRISTOL AIRPO BRISTOL,SSP UK BRISTOL AIRPORT,BRISTOL,BS48 3DY,UNITED KINGDOM OF GB AND NI,'AT253570054000011439792',Entertainment-Restaurants
22/12/2025,DHL INTERNATIONAL  UK   LONDON,63.06,,DHL INTERNATIONAL  UK   LONDON,"UNIT 1 HORTON ROAD
SOUTHERN HUB",COLNBROOK,SL3 0BB,UNITED KINGDOM OF GB AND NI,'AT253560055000011291658',Business Services-Professional Services
22/12/2025,WB009088 CARDIFF GATE 8 Cardiff,49.64,,WB009088 CARDIFF GATE 8 Cardiff,JUNCTION 30 M4 MOTORWAY,CARDIFF,CF23 8RA,UNITED KINGDOM OF GB AND NI,'AT253570054000011477852',Entertainment-Bars & Cafés
22/12/2025,WH SMITH 0788 311S      CARDIFF,14.99,WELBRK-STORES,WH SMITH 0788 311S      CARDIFF,"WELCOME BREAK GROUP LTD
CARDIFF GATE WHS
JUNCTION 36
M4 MOTORWAY",CARDIFF,CF23 8RA,UNITED KINGDOM OF GB AND NI,'AT253570054000011426561',Entertainment-Bars & Cafés
21/12/2025,AMZNMKTPLACE*ZD0GF8SZ4  AMAZON.CO.UK,84.98,,AMZNMKTPLACE*ZD0GF8SZ4  AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT253570054000011465465',General Purchases-Online Purchases
21/12/2025,AMZNMKTPLACE*ZD6DF8DF4  AMAZON.CO.UK,92.36,,AMZNMKTPLACE*ZD6DF8DF4  AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT253570054000011464486',General Purchases-Online Purchases
21/12/2025,NAME-CHEAP.COM* 3QLQ2D  PHOENIX,5.54,Foreign Spend Amount: 7.18 UNITED STATES DOLLAR Commission Amount: 0.16 Currency Exchange Rate: 1.3345,NAME-CHEAP.COM* 3QLQ2D  PHOENIX,"4600 EAST WASHINGTON ST
SUITE 305",PHOENIX,85034,UNITED STATES,'AT253560055000011255771',General Purchases-Computer Supplies
21/12/2025,NAME-CHEAP.COM* OK368X  PHOENIX,8.85,Foreign Spend Amount: 11.48 UNITED STATES DOLLAR Commission Amount: 0.26 Currency Exchange Rate: 1.3364,NAME-CHEAP.COM* OK368X  PHOENIX,"4600 EAST WASHINGTON ST
SUITE 305",PHOENIX,85034,UNITED STATES,'AT253570054000011459472',General Purchases-Computer Supplies
19/12/2025,SUSCRIPCION LIFEMILES P SAN JOSE,9.25,"TICKET NUMBER:  :                       PASSENGER NAME:
Foreign Spend Amount: 12.00 UNITED STATES DOLLAR Commission Amount: 0.27 Currency Exchange Rate: 1.3363",SUSCRIPCION LIFEMILES P SAN JOSE,"""CASA MATRIZ,SAN JOSE.SAN JOSE""",SAN JOSE,,COSTA RICA,'AT253560055000011290990',Travel-Airline
18/12/2025,EASYJET                 LUTON,-1.75,"ROUTING:    FROM:     PORTO
TO:       BRISTOL           CARRIER:        U2  CLASS:          Y
TICKET NUMBER:  KBPP6CM                 PASSENGER NAME: PHILLIP LINDLEY",EASYJET                 LUTON,HANGER 89 LONDON LUTON AIRPORT,LUTON,LU2 9PF,UNITED KINGDOM OF GB AND NI,'AT253520055000011461261',Travel-Airline
17/12/2025,PADDLE.NET* MAGICPAGES  LONDON,5.52,,PADDLE.NET* MAGICPAGES  LONDON,70 WILSON STREET,LONDON,EC2A 2DB,UNITED KINGDOM OF GB AND NI,'AT253520055000011492958',General Purchases-Computer Supplies
14/12/2025,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,150.00,,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,731 SANSOME ST,SAN FRANCISCO,94111,UNITED STATES,'AT253490053000011366975',General Purchases-Computer Supplies
14/12/2025,GOOGLE *PLAY            G.CO/HELPPAY#,19.29,Foreign Spend Amount: 25.00 UNITED STATES DOLLAR Commission Amount: 0.56 Currency Exchange Rate: 1.3347,GOOGLE *PLAY            G.CO/HELPPAY#,1600 AMPHITHEATRE PKWY,MOUNTAIN VIEW,94043-1351,UNITED STATES,'AT253490053000011363637',Business Services-Internet Services
13/12/2025,AUDIBLE UK              ADBL.CO/PYMT,8.99,,AUDIBLE UK              ADBL.CO/PYMT,500 CHISWICK HIGH ROAD,LONDON,W4 5RG,UNITED KINGDOM OF GB AND NI,'AT253470059000010132179',General Purchases-Online Purchases
13/12/2025,HOKA                    LONDON,289.00,,HOKA                    LONDON,130 SHAFTESBURY AVENUE,LONDON,W1D 5EU,UNITED KINGDOM OF GB AND NI,'AT253490053000011370832',General Purchases-Clothing Stores
11/12/2025,X CORP. PAID FEATURES   BASTROP,8.00,,X CORP. PAID FEATURES   BASTROP,"865 FM1209
BUILDING 2",BASTROP,78602,UNITED STATES,'AT253450055000011383635',General Purchases-Online Purchases
10/12/2025,AIR EUROPA              LLUCMAJOR,84.23,"ROUTING:    FROM:     MALAGA
TO:       MADRID BARAJAS APTCARRIER:        UX  CLASS:          A
TO:       PORTO             CARRIER:        UX  CLASS:          A
TICKET NUMBER:  745HKX                  PASSENGER NAME: PhilLindley
Foreign Spend Amount: 93,44 EUROPEAN UNION EURO Commission Amount: 2.45 Currency Exchange Rate: 1.1425",AIR EUROPA              LLUCMAJOR,"CTRA ARENAL - LLUMAJOR KM
215",LLUCMAJOR                       ,07620,SPAIN,'AT253450055000011415694',Travel-Airline
10/12/2025,EASYJET                 LUTON,28.91,"ROUTING:    FROM:     PORTO
TO:       BRISTOL           CARRIER:        U2  CLASS:          Y
TICKET NUMBER:  KBPP6CM                 PASSENGER NAME: PHILLIP LINDLEY",EASYJET                 LUTON,HANGER 89 LONDON LUTON AIRPORT,LUTON,LU2 9PF,UNITED KINGDOM OF GB AND NI,'AT253450055000011415654',Travel-Airline
10/12/2025,EASYJET                 LUTON,115.67,"ROUTING:    FROM:     BERLIN (MET.)
TO:       MALAGA            CARRIER:        U2  CLASS:          Y
TICKET NUMBER:  KBPP7BC                 PASSENGER NAME: PHILLIP LINDLEY",EASYJET                 LUTON,HANGER 89 LONDON LUTON AIRPORT,LUTON,LU2 9PF,UNITED KINGDOM OF GB AND NI,'AT253450055000011415659',Travel-Airline
10/12/2025,PAYMENT RECEIVED - THANK YOU,-2273.95,,PAYMENT RECEIVED - THANK YOU,,,,,'10000000011206999918850',
10/12/2025,WWW.DEUTSCHEBAHN.COM (N BERLIN,190.10,"654955079534                            1422652723
Foreign Spend Amount: 210,89 EUROPEAN UNION EURO Commission Amount: 5.52 Currency Exchange Rate: 1.1425",WWW.DEUTSCHEBAHN.COM (N BERLIN,"DB VERTRIEB GMBH
KUNDENABR. P.DFZ22 KARTENZAHLUNG
CAROLINE-MICHAELIS-STR. 5-11",BERLIN,10115,GERMANY,'AT253450055000011384121',Travel-Other Travel
09/12/2025,KLM                     LONDON,9.80,TICKET NUMBER:  07441276090194          PASSENGER NAME: LINDLEY/PHILLIP MX,KLM                     LONDON,SUBMISSIONS GBP,UK,A1,UNITED KINGDOM OF GB AND NI,'AT253450055000011398868',Travel-Airline
09/12/2025,KLM                     LONDON,203.57,"ROUTING:    FROM:     LONDON HEATHROW AP
TO:       AMSTERDAM         CARRIER:        KL  CLASS:          P
TICKET NUMBER:  07421319317591          PASSENGER NAME: LINDLEY/PHILLIP MX",KLM                     LONDON,SUBMISSIONS GBP,UK,A1,UNITED KINGDOM OF GB AND NI,'AT253450055000011398867',Travel-Airline
09/12/2025,OYO TECHNOLOGY AND HOSP LONDON,87.00,,OYO TECHNOLOGY AND HOSP LONDON,37 WELLAND CLOSE,LONDON,SL3 8UP,UNITED KINGDOM OF GB AND NI,'AT253440059000011382924',Travel-Lodging
06/12/2025,TELLO US TELLO US       ATLANTA,5.22,Foreign Spend Amount: 6.76 UNITED STATES DOLLAR Commission Amount: 0.15 Currency Exchange Rate: 1.3333,TELLO US TELLO US       ATLANTA,4780 ASHFORD DUNWOODY RD,ATLANTA,30338,UNITED STATES,'AT253410044000011596609',General Purchases-Online Purchases
06/12/2025,WIZZAIRUK               LUTON,101.51,"ROUTING:    FROM:     KOSICE
TO:       LONDON LUTON APT  CARRIER:        W9  CLASS:          B
TICKET NUMBER:  VGTFGL                  PASSENGER NAME: Lindley/Phillip
Foreign Spend Amount: 112,74 EUROPEAN UNION EURO Commission Amount: 2.95 Currency Exchange Rate: 1.1438",WIZZAIRUK               LUTON,44 ESPLANADE ST HELIER,JERSEY,JE4 9WG,UNITED KINGDOM OF GB AND NI,'AT253410044000011593905',Travel-Airline
05/12/2025,CITIZENM SCHIPHOL AIPOR VOORSCHOTEN,124.97,"Foreign Spend Amount: 138,52 EUROPEAN UNION EURO Commission Amount: 3.63 Currency Exchange Rate: 1.1415",CITIZENM SCHIPHOL AIPOR VOORSCHOTEN,2 JAN PLEZIERWEG,SCHIPHOL,1118 BB,NETHERLANDS,'AT253400044000011509923',Travel-Lodging
05/12/2025,KLM                     LONDON,190.30,"ROUTING:    FROM:     OSLO (MET.)
TO:       AMSTERDAM         CARRIER:        KL  CLASS:          Q
TO:       VIENNA            CARRIER:        KL  CLASS:          Q
TICKET NUMBER:  07421318052142          PASSENGER NAME: LINDLEY/PHILLIP MX",KLM                     LONDON,SUBMISSIONS GBP,UK,A1,UNITED KINGDOM OF GB AND NI,'AT253410044000011660746',Travel-Airline
05/12/2025,PADDLE.NET* MAGICPAGES  LONDON,13.80,,PADDLE.NET* MAGICPAGES  LONDON,70 WILSON STREET,LONDON,EC2A 2DB,UNITED KINGDOM OF GB AND NI,'AT253390055000011413791',General Purchases-Computer Supplies
01/12/2025,GOOGLE                  DUBLIN,7.00,,GOOGLE                  DUBLIN,70 SIR JOHN ROGERSONS QUAY,DUBLIN,DUBLIN 2,IRELAND,'AT253350056000011473478',General Purchases-Computer Supplies
01/12/2025,SQSP* DOMAIN#211887557  NEW YORK,30.00,,SQSP* DOMAIN#211887557  NEW YORK,225 VARICK ST FL 12,NEW YORK,10014,UNITED STATES,'AT253360055000011409125',Business Services-Professional Services
01/12/2025,TRANSAVIA FRANCE S.A.S. PARAY-VIEILLE-P,210.49,"ROUTING:    FROM:     PORTO
TO:       PARIS ORLY APT    CARRIER:        TO  CLASS:          M
TICKET NUMBER:  NCYKGM                  PASSENGER NAME: Lindley/Phillip Adam Dro
Foreign Spend Amount: 232,84 EUROPEAN UNION EURO Commission Amount: 6.11 Currency Exchange Rate: 1.1392",TRANSAVIA FRANCE S.A.S. PARAY-VIEILLE-P,"ZONE ORLYTECH
3 ALLEE HELENE BOUCHER
BATIMENT 524",WISSOUS CEDEX,91781,FRANCE,'AT253350056000011469434',Travel-Airline
30/11/2025,KLM                     LONDON,214.10,"ROUTING:    FROM:     PARIS CHARLES DE G
TO:       AMSTERDAM         CARRIER:        KL  CLASS:          Q
TO:       OSLO (MET.)       CARRIER:        KL  CLASS:          Q
TICKET NUMBER:  07421316410620          PASSENGER NAME: LINDLEY/PHILLIP MX",KLM                     LONDON,SUBMISSIONS GBP,UK,A1,UNITED KINGDOM OF GB AND NI,'AT253360055000011395977',Travel-Airline
30/11/2025,PAYMENT RECEIVED - THANK YOU,-1400.00,,PAYMENT RECEIVED - THANK YOU,,,,,'AT253350001000010062962',
29/11/2025,OPENAI *CHATGPT SUBSCR  SAN FRANCISCO,-17.33,,OPENAI *CHATGPT SUBSCR  SAN FRANCISCO,"3180 18TH ST
STE 100",SAN FRANCISCO,94110,UNITED STATES,'AT253330044000011644650',General Purchases-Computer Supplies
28/11/2025,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,-150.00,,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,731 SANSOME ST,SAN FRANCISCO,94111,UNITED STATES,'AT253330044000011647358',General Purchases-Computer Supplies
22/11/2025,PRIME VIDEO RENT / BUY  AMZN.UK/BILL,2.99,,PRIME VIDEO RENT / BUY  AMZN.UK/BILL,"1 PRINCIPAL PLACE
WORSHIP STREET",LONDON,EC2A 2FA,UNITED KINGDOM OF GB AND NI,'AT253270044000011585465',General Purchases-Online Purchases
20/11/2025,AMAZON.CO.UK*Z31YZ96E4  AMAZON.CO.UK,49.99,,AMAZON.CO.UK*Z31YZ96E4  AMAZON.CO.UK,60 HOLBORN VIADUCT,LONDON,EC1A 2FD,UNITED KINGDOM OF GB AND NI,'AT253250057000011368815',General Purchases-Online Purchases
20/11/2025,AMAZON.CO.UK*Z385K8DP4  AMAZON.CO.UK,26.99,,AMAZON.CO.UK*Z385K8DP4  AMAZON.CO.UK,60 HOLBORN VIADUCT,LONDON,EC1A 2FD,UNITED KINGDOM OF GB AND NI,'AT253250057000011369647',General Purchases-Online Purchases
20/11/2025,ANTHROPIC               SAN FRANCISCO,5.00,,ANTHROPIC               SAN FRANCISCO,731 SANSOME ST,SAN FRANCISCO,94111,UNITED STATES,'AT253250057000011365191',General Purchases-Computer Supplies
20/11/2025,OAKLEY - GBP            MILAN,-479.00,,OAKLEY - GBP            MILAN,"PIAZZALE CADORNA
3",MILANO,20123,ITALY,'AT253250057000011384893',General Purchases-Online Purchases
19/11/2025,LYCAMOBILE              LONDON,24.00,,LYCAMOBILE              LONDON,195 MARSH WALL 3RD FLOOR,LONDON,E14 9SG,UNITED KINGDOM OF GB AND NI,'AT253230058000011287537',Communications-Mobile Telecommunication
19/11/2025,SUSCRIPCION LIFEMILES P SAN JOSE,9.47,"TICKET NUMBER:  :                       PASSENGER NAME:
Foreign Spend Amount: 12.00 UNITED STATES DOLLAR Commission Amount: 0.27 Currency Exchange Rate: 1.3043",SUSCRIPCION LIFEMILES P SAN JOSE,"""CASA MATRIZ,SAN JOSE.SAN JOSE""",SAN JOSE,,COSTA RICA,'AT253250057000011336667',Travel-Airline
18/11/2025,GITHUB                  SAN FRANCISCO,15.66,Foreign Spend Amount: 20.00 UNITED STATES DOLLAR Commission Amount: 0.45 Currency Exchange Rate: 1.3149,GITHUB                  SAN FRANCISCO,275 BRANNAN ST,SAN FRANCISCO,94107,UNITED STATES,'AT253230058000011296091',Miscellaneous-Other
17/11/2025,PADDLE.NET* MAGICPAGES  LONDON,5.52,,PADDLE.NET* MAGICPAGES  LONDON,70 WILSON STREET,LONDON,EC2A 2DB,UNITED KINGDOM OF GB AND NI,'AT253220051000011194934',General Purchases-Computer Supplies
15/11/2025,ASANA REBEL             BERLIN,-28.99,,ASANA REBEL             BERLIN,DESSAUER STR 28-29,BERLIN,10963,GERMANY,'AT253190078000010218179',Business Services-Other Services
15/11/2025,RYANAIR LTD AIRLINE     DUBLIN,94.27,"ROUTING:    FROM:     DUBLIN
TO:       PORTO             CARRIER:        FR  CLASS:          N
TICKET NUMBER:  W6JWQE                  PASSENGER NAME: LINDLEY/PHILLIP MR
Foreign Spend Amount: 103,17 EUROPEAN UNION EURO Commission Amount: 2.74 Currency Exchange Rate: 1.1271",RYANAIR LTD AIRLINE     DUBLIN,SUBMISSIONS EUR,UK,AA,UNITED KINGDOM OF GB AND NI,'AT253220002000011301645',Travel-Airline
14/11/2025,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,150.00,,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,731 SANSOME ST,SAN FRANCISCO,94111,UNITED STATES,'AT253190045000011214825',General Purchases-Computer Supplies
13/11/2025,AMERICAN AIRLINES       FT WORTH,597.40,"ROUTING:    FROM:     MEXICO CITY BENITO
TO:       DALLAS/FORT WORTH CARRIER:        AA  CLASS:          H
TO:       DUBLIN            CARRIER:        AA  CLASS:          P
TICKET NUMBER:  0012290367838           PASSENGER NAME: LINDLEY/PHILLIP",AMERICAN AIRLINES       FT WORTH,1 SKYVIEW DRIVE,FT WORTH TX  76155,A00 0AA,UNITED KINGDOM OF GB AND NI,'AT253170053000011231457',Travel-Airline
13/11/2025,AUDIBLE UK              ADBL.CO/PYMT,8.99,,AUDIBLE UK              ADBL.CO/PYMT,500 CHISWICK HIGH ROAD,LONDON,W4 5RG,UNITED KINGDOM OF GB AND NI,'AT253180053000011341069',General Purchases-Online Purchases
13/11/2025,CLAYTON HOTEL LIFFEY VA DUBLIN 22,220.41,"Foreign Spend Amount: 241,90 EUROPEAN UNION EURO Commission Amount: 6.40 Currency Exchange Rate: 1.1303",CLAYTON HOTEL LIFFEY VA DUBLIN 22,"Clondalkin
Liffey Valley",Dublin,D22X4W6,IRELAND,'AT253180053000011345026',Travel-Lodging
12/11/2025,TRAINLINE Trainline     LONDON,67.90,,TRAINLINE Trainline     LONDON,120 HOLBORN,LONDON,EC1N 2TD,UNITED KINGDOM OF GB AND NI,'AT253170053000011239505',Travel-Rail Services
11/11/2025,OURARING                OULU,69.99,,OURARING                OULU,"ELEKTRONIIKKATIE
10",OULU,FIN90590,FINLAND,'AT253150056000011143636',General Purchases-General Retail
11/11/2025,VIDURA.CO               BERLIN,32.00,,VIDURA.CO               BERLIN,BRAUNSCHWEIGER STR 47,BERLIN,12059,GERMANY,'AT253150086000010128863',Entertainment-General Events
11/11/2025,X CORP. PAID FEATURES   BASTROP,8.00,,X CORP. PAID FEATURES   BASTROP,"865 FM1209
BUILDING 2",BASTROP,78602,UNITED STATES,'AT253150056000011192645',General Purchases-Online Purchases
08/11/2025,ASANA REBEL             BERLIN,28.99,,ASANA REBEL             BERLIN,DESSAUER STR 28-29,BERLIN,10963,GERMANY,'AT253120044000011383227',Business Services-Other Services
08/11/2025,COSTA BRISTOL PARKWAY S BRISTOL,7.94,COSTA-COFFEHOUSE-SERVICES,COSTA BRISTOL PARKWAY S BRISTOL,KIOSK BRISTOL PARKWAY STATION,BRISTOL,BS34 8PU,UNITED KINGDOM OF GB AND NI,'AT253130046000011467146',Entertainment-Bars & Cafés
08/11/2025,DOJO*LA TERRA           BATH,230.62,,DOJO*LA TERRA           BATH,2 JOHN STREET,BATH,BA1 2JL,UNITED KINGDOM OF GB AND NI,'AT253130046000011473400',Entertainment-Restaurants
08/11/2025,TESCO STORE 6564 6564TE BATH,12.05,,TESCO STORE 6564 6564TE BATH,4-5 WESTGATE BUILDING,BATH,BA1 1EB,UNITED KINGDOM OF GB AND NI,'AT253130046000011528141',General Purchases-Groceries
08/11/2025,TESCO STORE 6564 6564TE BATH,21.75,,TESCO STORE 6564 6564TE BATH,4-5 WESTGATE BUILDING,BATH,BA1 1EB,UNITED KINGDOM OF GB AND NI,'AT253120044000011347897',General Purchases-Groceries
08/11/2025,UBER TRIP               HTTPS://HELP.UB,14.39,,UBER TRIP               HTTPS://HELP.UB,"ALDGATE TOWER FIRST FLOOR 2 LEHMAN
STREET",LONDON,E1 8FA,UNITED KINGDOM OF GB AND NI,'AT253120044000011387770',Travel-Taxis & Coach
07/11/2025,PARCA PMS               Paris,652.88,"Foreign Spend Amount: 718,48 EUROPEAN UNION EURO Commission Amount: 18.95 Currency Exchange Rate: 1.1333",PARCA PMS               Paris,10 RUE DU VOYAGEUR,ROISSY EN FRANCE,95700,FRANCE,'AT253120044000011358690',Travel-Lodging
07/11/2025,PAYPAL *STEAM GAMES     04258899642,68.98,,PAYPAL *STEAM GAMES     04258899642,9 RODINGSMARKT,04258899642,204,UNITED KINGDOM OF GB AND NI,'AT253130076000010111098',General Purchases-General Retail
07/11/2025,SUMUP*PARKWAY STATION T BRISTOL,25.00,,SUMUP*PARKWAY STATION T BRISTOL,7 BOWER WALK,BRISTOL,BS3 5AN,UNITED KINGDOM OF GB AND NI,'AT253120044000011348229',Travel-Taxis & Coach
07/11/2025,TRAINLINE Trainline     LONDON,53.69,,TRAINLINE Trainline     LONDON,120 HOLBORN,LONDON,EC1N 2TD,UNITED KINGDOM OF GB AND NI,'AT253120044000011350707',Travel-Rail Services
06/11/2025,OPENAI *CHATGPT SUBSCR  SAN FRANCISCO,20.00,,OPENAI *CHATGPT SUBSCR  SAN FRANCISCO,"3180 18TH ST
STE 100",SAN FRANCISCO,94110,UNITED STATES,'AT253100056000011229811',General Purchases-Computer Supplies
06/11/2025,TELLO US TELLO US       ATLANTA,5.35,Foreign Spend Amount: 6.76 UNITED STATES DOLLAR Commission Amount: 0.16 Currency Exchange Rate: 1.3025,TELLO US TELLO US       ATLANTA,4780 ASHFORD DUNWOODY RD,ATLANTA,30338,UNITED STATES,'AT253110055000011257412',General Purchases-Online Purchases
05/11/2025,PADDLE.NET* MAGICPAGES  LONDON,13.80,,PADDLE.NET* MAGICPAGES  LONDON,70 WILSON STREET,LONDON,EC2A 2DB,UNITED KINGDOM OF GB AND NI,'AT253090055000011216744',General Purchases-Computer Supplies
04/11/2025,MOXY PARIS CHARLES DE GAULLE AIRPORT,-100.00,MarriottBonvoy Offer,MOXY PARIS CHARLES DE GAULLE AIRPORT,5 RUE DU SIGNE,ROISSY EN FRANCE,95700,FRANCE,'AT253080055000011161227',Travel-Lodging
03/11/2025,MOXY PARIS CDG FOH 5 RU ROISSY-EN-FRANC,593.34,"Foreign Spend Amount: 653,00 EUROPEAN UNION EURO Commission Amount: 17.23 Currency Exchange Rate: 1.1334",MOXY PARIS CDG FOH 5 RU ROISSY-EN-FRANC,5 RUE DU SIGNE,ROISSY EN FRANCE,95700,FRANCE,'AT253080055000011168059',Travel-Lodging
03/11/2025,PAYMENT RECEIVED - THANK YOU,-1308.61,,PAYMENT RECEIVED - THANK YOU,,,,,'AT253080001000010047244',
02/11/2025,KLM                     LONDON,9.20,TICKET NUMBER:  07441263698190          PASSENGER NAME: LINDLEY/PHILLIP MX,KLM                     LONDON,SUBMISSIONS GBP,UK,A1,UNITED KINGDOM OF GB AND NI,'AT253090055000011205183',Travel-Airline
01/11/2025,AMAZON.CO.UK            AMAZON.CO.UK,-79.00,,AMAZON.CO.UK            AMAZON.CO.UK,60 HOLBORN VIADUCT,LONDON,EC1A 2FD,UNITED KINGDOM OF GB AND NI,'AT253050063000010233080',General Purchases-Online Purchases
01/11/2025,GOOGLE*GSUITE VIBECODEM CC GOOGLE.COM,7.00,,GOOGLE*GSUITE VIBECODEM CC GOOGLE.COM,70 SIR JOHN ROGERSONS QUAY,DUBLIN,DUBLIN 2,IRELAND,'AT253060044000011497988',General Purchases-Computer Supplies
01/11/2025,KLM                     LONDON,241.82,"ROUTING:    FROM:     LONDON HEATHROW AP
TO:       PARIS CHARLES DE GCARRIER:        AF  CLASS:          U
TO:       LONDON HEATHROW APCARRIER:        AF  CLASS:          G
TICKET NUMBER:  07421305670122          PASSENGER NAME: RAMIREZ RODRIGUEZ/LAURA",KLM                     LONDON,SUBMISSIONS GBP,UK,A1,UNITED KINGDOM OF GB AND NI,'AT253080055000011167503',Travel-Airline
01/11/2025,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,2.80,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT253060044000011487609',Travel-Other Travel
01/11/2025,TOKLAS,-3.00,Amex Offer Credit,TOKLAS,SURREY STREET1,LONDON,WC2R 2ND,UNITED KINGDOM OF GB AND NI,'AT253050063000010234872',Entertainment-Restaurants
01/11/2025,TOKLAS,-0.50,Amex Offer Credit,TOKLAS,SURREY STREET1,LONDON,WC2R 2ND,UNITED KINGDOM OF GB AND NI,'AT253050063000010234857',Entertainment-Restaurants
31/10/2025,DOJO*STYLOTEL           LONDON,100.00,,DOJO*STYLOTEL           LONDON,160-162 SUSSEX GARDENS,LONDON,W2 1UD,UNITED KINGDOM OF GB AND NI,'AT253040047000011349740',Travel-Lodging
31/10/2025,EUROPCAR MOBILITY GROUP PARIS,-86.00,,EUROPCAR MOBILITY GROUP PARIS,1 GREAT CENTRAL SQUARE,LEICESTER,LE1 4JS,UNITED KINGDOM OF GB AND NI,'AT253050038000011244863',Travel-Vehicle Rental
31/10/2025,KLM                     LONDON,333.82,"ROUTING:    FROM:     LONDON HEATHROW AP
TO:       PARIS CHARLES DE GCARRIER:        AF  CLASS:          U
TO:       LONDON HEATHROW APCARRIER:        AF  CLASS:          F
TICKET NUMBER:  07421305669492          PASSENGER NAME: LINDLEY/PHILLIP MX",KLM                     LONDON,SUBMISSIONS GBP,UK,A1,UNITED KINGDOM OF GB AND NI,'AT253060044000011494193',Travel-Airline
